logFC_(Intercept)	logFC_cell_classsorted	se_(Intercept)	se_cell_classsorted	p_(Intercept)	p_cell_classsorted	gene_id	gene
1	-9.98942150252042	0.171008284506306	0.181825450480816	0.0217330537006276	0	3.58687465673964e-15	1	EGFP
2	-11.373631680667	-0.0490222309216113	0.0286035837649058	0.0572854120185254	0	0.392133763266022	2	TSPAN6
3	-9.69589475938245	-0.0135493782729043	0.0217639662832049	0.0263686652019244	0	0.607361118963038	3	DPM1
4	-11.2875439490917	-0.296040656429881	0.0265602856717832	0.0609412914650733	0	1.18696714332795e-06	4	SCYL3
5	-10.0145024932738	0.0105518727679069	0.017670236811047	0.03125325420189	0	0.735645973282298	5	FIRRM
6	-11.1406289910504	-1.39054543635321	0.05962707884275	0.0804243915303656	0	5.58593394841916e-67	6	CFH
7	-9.82711676629909	0.297048501610494	0.0132647257670992	0.0250111716433458	0	1.56547204330656e-32	7	FUCA2
8	-8.36588131697001	0.191647967540859	0.0259592591801461	0.0186839808062252	0	1.09685123498524e-24	8	GCLC
9	-9.89014883849222	0.0306881166361109	0.0143927419885241	0.0303345272800814	0	0.31170240095057	9	NFYA
10	-10.5696338150604	-0.341882520620099	0.0218667819110601	0.0442771548032244	0	1.15040553598958e-14	10	STPG1
11	-9.5586222711089	-0.311421691530298	0.0178994484707067	0.0278277076540075	0	4.50982757800031e-29	11	NIPAL3
12	-10.3140821651836	0.140018116918343	0.0157239585312588	0.0327897091838905	0	1.953110897966e-05	12	LAS1L
13	-8.59325091728173	-0.00495536929292547	0.00695433291110129	0.0156936726829286	0	0.752187815240365	16	ANKIB1
14	-9.53438691476414	-0.20391258668268	0.020159264073415	0.0260951664900748	0	5.53176384148005e-15	17	CYP51A1
15	-9.19864338103812	-0.0087638117820279	0.00926810929617032	0.0205445685454511	0	0.669688468374702	18	KRIT1
16	-10.7207188049605	-0.150544162243398	0.0199356305898224	0.0436395069686062	0	0.000561164353832653	19	RAD52
17	-10.8167096361934	0.104481232006547	0.0182717925576398	0.0422891598982534	0	0.0134872032653899	21	BAD
18	-10.2454662908686	0.352077984646669	0.0144144548693202	0.0303134278127834	0	3.47457895619749e-31	22	LAP3
19	-11.0667251406707	0.65611774630816	0.0404460085524301	0.0511440643188008	0	1.13080291129983e-37	23	HS3ST1
20	-8.10783979478983	0.150584455642825	0.0133413123363238	0.0129776188074612	0	3.96042063930289e-31	25	MAD1L1
21	-8.52137530167707	-0.082300977691042	0.0105572207954875	0.0151633607575244	0	5.71100980749235e-08	26	LASP1
22	-9.53878383052063	0.156064768848134	0.0141145688137275	0.0219055764577826	0	1.04511499749298e-12	28	M6PR
23	-9.42529351381995	-0.258265653207903	0.0255872539721761	0.0294728370057826	0	1.90397640194846e-18	29	KLHL13
24	-9.53962812922433	0.168005452695478	0.0134264491165022	0.023811132116994	0	1.71669262519331e-12	33	ALS2
25	-9.9314657901153	-0.34907758015229	0.0220067318828736	0.032996796078885	0	3.72377711951786e-26	35	CFLAR
26	-10.3132461020803	-0.712604128657383	0.0337874813007749	0.0460255635264777	0	4.5337734509673e-54	36	TFPI
27	-9.83755959473011	0.0392654078373194	0.0163300035234071	0.0273593820803892	0	0.151238207666005	37	NDUFAF7
28	-9.56912724496885	0.0192312649067615	0.011124422394949	0.024008586616575	0	0.423122313523017	38	RBM5
29	-11.1361596235775	0.257925030845134	0.0213086768811092	0.0473108059202242	0	4.98863574600521e-08	43	POLDIP2
30	-10.4230462535734	0.0980941419951931	0.0367629290524098	0.03765734941771	0	0.0091897427943544	44	PLXND1
31	-9.2354974793757	0.22157838847465	0.00898137216131984	0.0190364794151724	0	2.59007839352147e-31	45	AK2
32	-10.158836415801	0.556826039437068	0.0244413637766566	0.0289656004589254	0	2.34436922894183e-82	47	FKBP4
33	-8.10761937619599	0.233419299015115	0.0234275429029515	0.0138920217518987	0	2.34368030704262e-63	48	KDM1A
34	-9.12647560156108	-0.00342919849183741	0.010542179105325	0.0200099562131723	0	0.863929215760043	49	RBM6
35	-10.0424621185979	0.311671340243974	0.0191717319339157	0.0301935108143858	0	5.57748545519108e-25	50	CAMKK1
36	-9.63849307276841	-0.0850578900967754	0.0199889588093682	0.0259172827115142	0	0.00103110729806512	51	RECQL
37	-9.87090142194103	0.0478103804641383	0.0165445231709497	0.0288695983589771	0	0.0977055066694503	52	VPS50
38	-11.3807543186623	-0.333507883705516	0.0292425912125361	0.0637215973646442	0	1.66034920540337e-07	54	ARHGAP33
39	-8.91000604008296	0.150015452415374	0.00963273396029913	0.0181928570558138	0	1.63999171909347e-16	61	SLC25A13
40	-8.57221930754662	0.21486045066575	0.00826822212949642	0.0169747263740831	0	1.01468913321346e-36	62	ST7
41	-8.69591326527389	-0.048477993900682	0.00796385537391176	0.0171896748725382	0	0.00479965733663086	63	CDC27
42	-10.9746126916204	0.378059784259627	0.0236204131505808	0.042404484424599	0	4.85351013120276e-19	65	HCCS
43	-10.7129996064674	-0.0640256322042509	0.0175799143720832	0.0420388246649237	0	0.127755716486762	66	DVL2
44	-9.87474748155926	0.157653168759038	0.0126091424873576	0.0267648910818247	0	3.85501187724757e-09	68	UPF1
45	-8.83276611736906	-0.266712219979627	0.012722563920872	0.0207747316817594	0	1.0004841485561e-37	69	SKAP2
46	-9.23222950206039	0.335450270183623	0.0153806638809124	0.018964699501706	0	5.17552988686468e-70	70	SLC25A5
47	-11.0145967502462	0.0561870585432594	0.0442676813953884	0.0553570402652248	0	0.310108732248278	71	MCUB
